batch_id,index,operation,status,error,message,entity_id,raw_input
44742,55,set_statement,Done,,,Q140794631,"Q140794631|P1343|Q140794903|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2014.71""|S813|+2026-06-18T00:00:00Z/11"
44742,56,set_statement,Done,,,Q140794632,"Q140794632|P1343|Q140794904|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2016.161""|S813|+2026-06-18T00:00:00Z/11"
44742,57,set_statement,Done,,,Q140794633,"Q140794633|P1343|Q140794905|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2013.16""|S813|+2026-06-18T00:00:00Z/11"
44742,58,set_statement,Done,,,Q140794635,"Q140794635|P1343|Q140794906|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2015.123""|S813|+2026-06-18T00:00:00Z/11"
44742,59,set_statement,Done,,,Q140794637,"Q140794637|P1343|Q140794907|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2015.145""|S813|+2026-06-18T00:00:00Z/11"
44742,60,set_statement,Done,,,Q140794638,"Q140794638|P1343|Q140794908|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2012.g-tvd""|S813|+2026-06-18T00:00:00Z/11"
44742,61,set_statement,Done,,,Q140794639,"Q140794639|P1343|Q140794909|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2020.271""|S813|+2026-06-18T00:00:00Z/11"
44742,62,set_statement,Done,,,Q140794640,"Q140794640|P1343|Q140794910|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2012.t-fscs""|S813|+2026-06-18T00:00:00Z/11"
44742,63,set_statement,Done,,,Q140794641,"Q140794641|P1343|Q140794911|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2013.40""|S813|+2026-06-18T00:00:00Z/11"
44742,64,set_statement,Done,,,Q140794642,"Q140794642|P1343|Q140794912|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2017.179""|S813|+2026-06-18T00:00:00Z/11"
44742,65,set_statement,Done,,,Q140794643,"Q140794643|P1343|Q140794913|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2013.26""|S813|+2026-06-18T00:00:00Z/11"
44742,66,set_statement,Done,,,Q140794644,"Q140794644|P1343|Q140794914|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2017.192""|S813|+2026-06-18T00:00:00Z/11"
44742,67,set_statement,Done,,,Q140794645,"Q140794645|P1343|Q140794915|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2016.116""|S813|+2026-06-18T00:00:00Z/11"
44742,68,set_statement,Done,,,Q140794647,"Q140794647|P1343|Q140794916|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2016.117""|S813|+2026-06-18T00:00:00Z/11"
44742,69,set_statement,Done,,,Q140794648,"Q140794648|P1343|Q140794917|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2011.g_iics""|S813|+2026-06-18T00:00:00Z/11"
44742,70,set_statement,Done,,,Q140794650,"Q140794650|P1343|Q140794918|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2019.274""|S813|+2026-06-18T00:00:00Z/11"
44742,71,set_statement,Done,,,Q140794651,"Q140794651|P1343|Q140794919|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2011.lmps_rpe""|S813|+2026-06-18T00:00:00Z/11"
44742,72,set_statement,Done,,,Q140794652,"Q140794652|P1343|Q140794920|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2014.105""|S813|+2026-06-18T00:00:00Z/11"
44742,73,set_statement,Done,,,Q140794653,"Q140794653|P1343|Q140794921|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2012.g-tvdc""|S813|+2026-06-18T00:00:00Z/11"
44742,74,set_statement,Done,,,Q140794654,"Q140794654|P1343|Q140794922|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2013.52""|S813|+2026-06-18T00:00:00Z/11"
44742,75,set_statement,Done,,,Q140794655,"Q140794655|P1343|Q140794923|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2011.ys-dct""|S813|+2026-06-18T00:00:00Z/11"
44742,76,set_statement,Done,,,Q140794656,"Q140794656|P1343|Q140794924|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2014.98""|S813|+2026-06-18T00:00:00Z/11"
44742,77,set_statement,Done,,,Q140794657,"Q140794657|P1343|Q140794925|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2012.admm-nppsf""|S813|+2026-06-18T00:00:00Z/11"
44742,78,set_statement,Done,,,Q140794658,"Q140794658|P1343|Q140794926|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2019.257""|S813|+2026-06-18T00:00:00Z/11"
44742,79,set_statement,Done,,,Q140794659,"Q140794659|P1343|Q140794927|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2019.243""|S813|+2026-06-18T00:00:00Z/11"
44742,80,set_statement,Done,,,Q140794660,"Q140794660|P1343|Q140794928|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2014.70""|S813|+2026-06-18T00:00:00Z/11"
44742,81,set_statement,Done,,,Q140794661,"Q140794661|P1343|Q140794929|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2011.g_rmdi""|S813|+2026-06-18T00:00:00Z/11"
44742,82,set_statement,Done,,,Q140794662,"Q140794662|P1343|Q140794931|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2019.231""|S813|+2026-06-18T00:00:00Z/11"
44742,83,set_statement,Done,,,Q140794663,"Q140794663|P1343|Q140794932|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2021.355""|S813|+2026-06-18T00:00:00Z/11"
44742,84,set_statement,Done,,,Q140794664,"Q140794664|P1343|Q140794933|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2012.g-cv""|S813|+2026-06-18T00:00:00Z/11"
44742,85,set_statement,Done,,,Q140794665,"Q140794665|P1343|Q140794934|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2019.255""|S813|+2026-06-18T00:00:00Z/11"
44742,86,set_statement,Done,,,Q140794666,"Q140794666|P1343|Q140794935|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2017.174""|S813|+2026-06-18T00:00:00Z/11"
44742,87,set_statement,Done,,,Q140794668,"Q140794668|P1343|Q140794936|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2013.54""|S813|+2026-06-18T00:00:00Z/11"
44742,88,set_statement,Done,,,Q140794669,"Q140794669|P1343|Q140794937|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2021.344""|S813|+2026-06-18T00:00:00Z/11"
44742,89,set_statement,Done,,,Q140794670,"Q140794670|P1343|Q140794938|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2015.131""|S813|+2026-06-18T00:00:00Z/11"
44742,90,set_statement,Done,,,Q140794671,"Q140794671|P1343|Q140794939|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2011.ggm_rpn""|S813|+2026-06-18T00:00:00Z/11"
