batch_id,index,operation,status,error,message,entity_id,raw_input
44920,154,remove_statement_by_value,Done,,,Q113287192,"-Q113287192|P356|""10.1016/j.softx.2021.100851"""
44920,155,remove_statement_by_value,Done,,,Q113287193,"-Q113287193|P356|""10.1016/j.softx.2021.100848"""
44920,156,remove_statement_by_value,Done,,,Q115036754,"-Q115036754|P356|""10.1016/j.softx.2021.100843"""
44920,157,remove_statement_by_value,Done,,,Q113441131,"-Q113441131|P356|""10.1016/j.softx.2021.100895"""
44920,158,remove_statement_by_value,Done,,,Q115036748,"-Q115036748|P356|""10.1016/j.softx.2021.100915"""
44920,159,remove_statement_by_value,Done,,,Q115036747,"-Q115036747|P356|""10.1016/j.softx.2021.100917"""
44920,160,remove_statement_by_value,Done,,,Q115036745,"-Q115036745|P356|""10.1016/j.softx.2021.100927"""
44920,161,remove_statement_by_value,Done,,,Q114658340,"-Q114658340|P356|""10.1016/j.softx.2021.100933"""
44920,162,remove_statement_by_value,Done,,,Q115036742,"-Q115036742|P356|""10.1016/j.softx.2021.100967"""
44920,163,remove_statement_by_value,Done,,,Q120411106,"-Q120411106|P356|""10.1016/j.softx.2021.100953"""
44920,164,remove_statement_by_value,Done,,,Q115036743,"-Q115036743|P356|""10.1016/j.softx.2021.100956"""
44920,165,remove_statement_by_value,Done,,,Q114658338,"-Q114658338|P356|""10.1016/j.softx.2021.100952"""
44920,166,remove_statement_by_value,Done,,,Q115741272,"-Q115741272|P356|""10.1016/j.softx.2021.100951"""
44920,167,remove_statement_by_value,Done,,,Q114384359,"-Q114384359|P356|""10.1016/j.softx.2022.100990"""
44920,168,remove_statement_by_value,Done,,,Q114384361,"-Q114384361|P356|""10.1016/j.softx.2022.100985"""
44920,169,remove_statement_by_value,Done,,,Q113501039,"-Q113501039|P356|""10.1016/j.softx.2022.101016"""
44920,170,remove_statement_by_value,Done,,,Q120969556,"-Q120969556|P356|""10.1016/j.softx.2022.101061"""
44920,171,remove_statement_by_value,Done,,,Q122222617,"-Q122222617|P356|""10.1016/j.softx.2022.101226"""
44920,172,remove_statement_by_value,Done,,,Q130586445,"-Q130586445|P356|""10.1016/j.softx.2024.101674"""
