batch_id,index,operation,status,error,message,entity_id,raw_input
44744,286,set_statement,Done,,,Q140794967,"Q140794967|P2093|""Jean-Michel Morel""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2017.201""|S813|+2026-06-18T00:00:00Z/11"
44744,287,set_statement,Done,,,Q140794967,"Q140794967|P2093|""Gabriele Facciolo""|P1545|""3""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2017.201""|S813|+2026-06-18T00:00:00Z/11"
44744,288,set_statement,Done,,,Q140794969,"Q140794969|P2093|""Antoni Buades""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2016.165""|S813|+2026-06-18T00:00:00Z/11"
44744,289,set_statement,Done,,,Q140794969,"Q140794969|P2093|""Jose-Luis Lisani""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2016.165""|S813|+2026-06-18T00:00:00Z/11"
44744,290,set_statement,Done,,,Q140794970,"Q140794970|P2093|""Jose-Luis Lisani""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2020.300""|S813|+2026-06-18T00:00:00Z/11"
44744,291,set_statement,Done,,,Q140794971,"Q140794971|P2093|""Fabien Pierre""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2021.298""|S813|+2026-06-18T00:00:00Z/11"
44744,292,set_statement,Done,,,Q140794971,"Q140794971|P2093|""Mathieu Amendola""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2021.298""|S813|+2026-06-18T00:00:00Z/11"
44744,293,set_statement,Done,,,Q140794971,"Q140794971|P2093|""Clémence Bigeard""|P1545|""3""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2021.298""|S813|+2026-06-18T00:00:00Z/11"
44744,294,set_statement,Done,,,Q140794971,"Q140794971|P2093|""Timothé Ruel""|P1545|""4""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2021.298""|S813|+2026-06-18T00:00:00Z/11"
44744,295,set_statement,Done,,,Q140794971,"Q140794971|P2093|""Pierre-Frédéric Villard""|P1545|""5""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2021.298""|S813|+2026-06-18T00:00:00Z/11"
44744,296,set_statement,Done,,,Q140794972,"Q140794972|P2093|""Lara Raad""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2017.171""|S813|+2026-06-18T00:00:00Z/11"
44744,297,set_statement,Done,,,Q140794972,"Q140794972|P2093|""Bruno Galerne""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2017.171""|S813|+2026-06-18T00:00:00Z/11"
44744,298,set_statement,Done,,,Q140794973,"Q140794973|P2093|""Boshra Rajaei""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2014.86""|S813|+2026-06-18T00:00:00Z/11"
44744,299,set_statement,Done,,,Q140794974,"Q140794974|P2093|""José Lezama""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2015.126""|S813|+2026-06-18T00:00:00Z/11"
