article_doi,venue,series_ordinal_P1545,author_name_P2093
10.21105/joss.05026,JOSS,3,Omar Shrit
10.21105/joss.05026,JOSS,4,Shubham Agrawal
10.21105/joss.05026,JOSS,5,Suryoday Basak
10.21105/joss.05026,JOSS,6,James J. Balamuta
10.21105/joss.05026,JOSS,7,Ryan Birmingham
10.21105/joss.05026,JOSS,8,Kartik Dutt
10.21105/joss.05026,JOSS,9,Dirk Eddelbuettel
10.21105/joss.05026,JOSS,10,Rishabh Garg
10.21105/joss.05026,JOSS,11,Shikhar Jaiswal
10.21105/joss.05026,JOSS,12,Aakash Kaushik
10.21105/joss.05026,JOSS,13,Sangyeon Kim
10.21105/joss.05026,JOSS,14,Anjishnu Mukherjee
10.21105/joss.05026,JOSS,15,Nanubala Gnana Sai
10.21105/joss.05026,JOSS,16,Nippun Sharma
10.21105/joss.05026,JOSS,17,Yashwant Singh Parihar
10.21105/joss.05026,JOSS,18,Roshan Swain
10.21105/joss.05026,JOSS,19,Conrad Sanderson
10.21105/joss.07764,JOSS,1,Niklas M. Melton
10.21105/joss.07764,JOSS,2,Dustin Tanksley
10.21105/joss.07764,JOSS,3,Donald C. Wunsch II
10.21105/joss.08284,JOSS,1,Adam Kewley
10.21105/joss.08284,JOSS,2,Julia van Beesel
10.21105/joss.08284,JOSS,3,Ajay Seth
10.21105/joss.01698,JOSS,1,Toni Giorgino
10.21105/joss.05854,JOSS,1,Ziheng ‘Leo’ Li
10.21105/joss.05854,JOSS,2,Haowen ‘John’ Wei
10.21105/joss.05854,JOSS,3,Ziwen Xie
10.21105/joss.05854,JOSS,4,Yunxiang Peng
10.21105/joss.05854,JOSS,5,June Pyo Suh
10.21105/joss.05854,JOSS,6,Steven Feiner
10.21105/joss.05854,JOSS,7,Paul Sajda
10.21105/joss.05348,JOSS,1,Lorenzo V. Mugnai
10.21105/joss.05348,JOSS,2,Andrea Bocchieri
10.21105/joss.05348,JOSS,3,Enzo Pascale
10.21105/joss.00106,JOSS,1,Sean M Hughes
10.21105/joss.01118,JOSS,1,Kasper Peeters
10.21105/joss.10136,JOSS,1,Ekin Winogradow
10.21105/joss.10136,JOSS,2,Johannes Scheffler
10.21105/joss.10136,JOSS,3,Moritz Leucke
10.21105/joss.10136,JOSS,4,Thomas Heine
10.21105/joss.10136,JOSS,5,Dorothea Golze
10.21105/joss.04708,JOSS,1,Charles Prud’homme
10.21105/joss.04708,JOSS,2,Jean-Guillaume Fages
10.21105/joss.09149,JOSS,1,Philip G. Brodrick
10.21105/joss.09149,JOSS,2,Francisco Ochoa
10.21105/joss.09149,JOSS,3,Gregory Okin
10.21105/joss.09149,JOSS,4,Vatsal A. Jhalani
10.21105/joss.09149,JOSS,5,Winston Olson-Duvall
10.21105/joss.09149,JOSS,6,Sarah R. Lundeen
10.21105/joss.09149,JOSS,7,David R. Thompson
10.21105/joss.09149,JOSS,8,Robert O. Green
10.21105/joss.03598,JOSS,1,Derek Fujimoto
10.21105/joss.05947,JOSS,1,Marios S. Kyriakou
10.21105/joss.05947,JOSS,2,Marios Demetriades
10.21105/joss.05947,JOSS,3,Stelios G. Vrachimis
10.21105/joss.05947,JOSS,4,Demetrios G. Eliades
10.21105/joss.05947,JOSS,5,Marios M. Polycarpou
10.21105/joss.06383,JOSS,1,Gabriele Ottino
10.21105/joss.06383,JOSS,2,Daniele Panico
10.21105/joss.06383,JOSS,3,Daniele Tomatis
10.21105/joss.06383,JOSS,4,Pierre-Alexandre Pantel
10.21105/joss.06274,JOSS,1,Theresa Klütz
10.21105/joss.06274,JOSS,2,Kevin Knosala
10.21105/joss.06274,JOSS,3,Johannes Behrens
10.21105/joss.06274,JOSS,4,Rachel Maier
10.21105/joss.06274,JOSS,5,Maximilian Hoffmann
10.21105/joss.06274,JOSS,6,Noah Pflugradt
10.21105/joss.06274,JOSS,7,Detlef Stolten
10.21105/joss.01896,JOSS,1,Stefan Appelhoff
