article_doi,venue,series_ordinal_P1545,author_name_P2093
10.5201/ipol.2022.398,IPOL,3,Mohamed Nadif
10.5201/ipol.2020.295,IPOL,1,Lukas Kiefer
10.5201/ipol.2020.295,IPOL,2,Martin Storath
10.5201/ipol.2020.295,IPOL,3,Andreas Weinmann
10.5201/ipol.2019.270,IPOL,1,Christoph Dalitz
10.5201/ipol.2019.270,IPOL,2,Jens Wilberg
10.5201/ipol.2019.270,IPOL,3,Manuel Jeltsch
10.5201/ipol.2018.194,IPOL,1,Boshra Rajaei
10.5201/ipol.2018.194,IPOL,2,Rafael Grompone von Gioi
10.5201/ipol.2014.57,IPOL,1,Gabriele Facciolo
10.5201/ipol.2014.57,IPOL,2,Nicolas Limare
10.5201/ipol.2014.57,IPOL,3,Enric Meinhardt-Llopis
10.5201/ipol.2021.328,IPOL,1,François Darmon
10.5201/ipol.2021.328,IPOL,2,Pascal Monasse
10.5201/ipol.2011.g_lmii,IPOL,1,Pascal Getreuer
10.5201/ipol.2017.208,IPOL,1,Christoph Dalitz
10.5201/ipol.2017.208,IPOL,2,Tilman Schramke
10.5201/ipol.2017.208,IPOL,3,Manuel Jeltsch
10.5201/ipol.2017.181,IPOL,1,Javier Sánchez
10.5201/ipol.2018.222,IPOL,1,Thibaud Briand
10.5201/ipol.2018.222,IPOL,2,Gabriele Facciolo
10.5201/ipol.2018.222,IPOL,3,Javier Sánchez
10.5201/ipol.2012.llm-ksvd,IPOL,1,Marc Lebrun
10.5201/ipol.2012.llm-ksvd,IPOL,2,Arthur Leclaire
10.5201/ipol.2022.424,IPOL,1,Marina Gardella
10.5201/ipol.2022.424,IPOL,2,Pablo Musé
10.5201/ipol.2019.279,IPOL,1,Charles Hessel
10.5201/ipol.2017.189,IPOL,1,Alasdair Newson
10.5201/ipol.2017.189,IPOL,2,Andrés Almansa
10.5201/ipol.2017.189,IPOL,3,Yann Gousseau
10.5201/ipol.2017.189,IPOL,4,Patrick Pérez
10.5201/ipol.2019.269,IPOL,1,Pascal Monasse
10.5201/ipol.2011.m_qer,IPOL,1,Pascal Monasse
10.5201/ipol.2015.44,IPOL,1,Jorge Jara-Wilde
10.5201/ipol.2015.44,IPOL,2,Mauricio Cerda
10.5201/ipol.2015.44,IPOL,3,José Delpiano
10.5201/ipol.2015.44,IPOL,4,Steffen Härtel
10.5201/ipol.2017.184,IPOL,1,Pravin Nair
10.5201/ipol.2017.184,IPOL,2,Anmol Popli
10.5201/ipol.2017.184,IPOL,3,Kunal N. Chaudhury
10.5201/ipol.2013.87,IPOL,1,Pascal Getreuer
10.5201/ipol.2016.141,IPOL,1,Joan Duran
10.5201/ipol.2016.141,IPOL,2,Michael Moeller
10.5201/ipol.2016.141,IPOL,3,Catalina Sbert
10.5201/ipol.2016.141,IPOL,4,Daniel Cremers
10.5201/ipol.2011.g_zwld,IPOL,1,Pascal Getreuer
10.5201/ipol.2014.79,IPOL,1,Thibaud Briand
10.5201/ipol.2014.79,IPOL,2,Jonathan Vacher
10.5201/ipol.2014.79,IPOL,3,Bruno Galerne
10.5201/ipol.2014.79,IPOL,4,Julien Rabin
10.5201/ipol.2018.205,IPOL,1,Marc Lebrun
10.5201/ipol.2018.205,IPOL,2,Miguel Colom
10.5201/ipol.2018.205,IPOL,3,Jérôme Darbon
10.5201/ipol.2018.205,IPOL,4,Jean-Michel Morel
10.5201/ipol.2011.cm_fds,IPOL,1,Marco Mondelli
10.5201/ipol.2011.cm_fds,IPOL,2,Adina Ciomaga
10.5201/ipol.2018.236,IPOL,1,Jose-Luis Lisani
10.5201/ipol.2017.216,IPOL,1,Rafael Grompone von Gioi
10.5201/ipol.2017.216,IPOL,2,Gregory Randall
10.5201/ipol.2022.397,IPOL,1,Samy Blusseau
10.5201/ipol.2022.397,IPOL,2,Santiago Velasco-Forero
